,,A Season,,,,,,,,,,CARRY-FORWARD,B Season,,,,,,,,,,2005
Vessel Name,Coop,Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,credits (carry-forward),Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,Pollock,Bycatch,Bycatch Rate,Credits,Unfished Pollock
PEGASUS,Akutan pollock,2147.95,101,0.0470216,214,,,0,0,0.0841887,1.04251,113,0,0,nan,0,,,,,,,2147.95,101,0.0470216,214,0
RAVEN,Akutan pollock,2438.3,125,0.0512652,244,,,0,0,-0.0292336,0.984045,119,0,0,nan,0,,,,,,,2438.3,125,0.0512652,244,0
PREDATOR,Akutan pollock,622.067,21,0.0337584,40,,,0,0,0.438689,1.22187,19,0,0,nan,0,,,,,,,622.067,21,0.0337584,40,0
GREAT PACIFIC,Unalaska,3371.64,137,0.0406331,334,,,0,0,0.254942,1.13161,197,4971.48,1665,0.33491,173,Oct-6-2005,1199,1120.51,247.235,-2.47035,0.342092,8343.12,1802,0.215986,507,1120.51
PROGRESS,Unalaska,2580.81,143,0.0554089,265,,,0,0,-0.139988,0.925773,122,4474.78,499,0.111514,165,Oct-6-2005,163,392.258,636.642,-0.297483,0.842785,7055.6,642,0.0909916,430,392.258
VIKING,Westward,5229,296,0.0566074,504,,,0,0,-0.172023,0.904768,208,9339.69,269,0.0288018,326,,,0,0,0.507014,1.25528,14568.7,565,0.0387818,830,0
INTREPID EXPLORER,Arctic Ent,1386.86,62,0.0447054,137,,,0,0,0.146096,1.07423,75,0,0,nan,0,,,,,,,1386.86,62,0.0447054,137,0
NORDIC STAR,Unisea,3002.98,140,0.0466203,271,,,0,0,0.0949144,1.04781,131,5076.4,72,0.0141833,193,,,0,0,0.6492,1.31855,8079.38,212,0.0262396,464,0
ANITA J,Northern Victor,2604.97,138,0.0529756,252,,,0,0,-0.074951,0.957492,114,5553.4,397,0.0714877,147,Oct-9-2005,109,161.393,391.714,0.0918297,1.04781,8158.37,535,0.0655768,399,161.393
POSEIDON,Northern Victor,2930.64,169,0.0576666,286,,,0,0,-0.200331,0.889112,117,5494.57,764,0.139046,171,Sep-28-2005,371,717.422,511.578,-0.565279,0.712452,8425.21,933,0.110739,457,717.422
MORNING STAR,Unalaska,4075.26,339,0.083185,368,,,0,0,-0.88239,0.582311,29,7137.36,2616,0.366522,183,Oct-8-2005,1773,1062.93,158.601,-2.77782,0.336957,11212.6,2955,0.263542,551,1062.93
PACIFIC PRINCE,Westward,8656.52,245,0.0283024,778,,,0,0,0.584518,1.29206,533,10008,175,0.0174859,425,,,0,0,0.617077,1.30543,18664.6,420,0.0225025,1203,0
WESTWARD I,Westward,5272.08,228,0.0432466,478,,,0,0,0.185086,1.09523,250,3637.57,17,0.00467345,120,,,0,0,0.741698,1.36047,8909.66,245,0.0274983,598,0
OCEAN EXPLORER,Akutan pollock,3476.57,157,0.0451595,349,,,0,0,0.133959,1.06896,192,5535.07,60,0.01084,194,,,0,0,0.681719,1.33566,9011.64,217,0.02408,543,0
AURORA,Unisea,8741.74,571,0.0653188,819,,,0,0,-0.404862,0.787871,248,13030.8,691,0.0530283,496,,,0,0,0.271375,1.14189,21772.5,1262,0.057963,1315,0
ALSEA,Unisea,4607.4,181,0.0392846,429,,,0,0,0.290984,1.15212,248,6924.53,662,0.0956021,275,Oct-17-2005,0,0,0,-0.142719,0.92051,11531.9,843,0.0731013,704,0
AURIGA,Unisea,8447.87,594,0.0703136,760,,,0,0,-0.538362,0.726131,166,13601.1,1045,0.0768318,503,Oct-7-2005,0,0,0,0.039851,1.01596,22049,1639,0.0743344,1263,0
ROYAL ATLANTIC,Northern Victor,3361.35,156,0.04641,343,,,0,0,0.100536,1.0531,187,5479.31,161,0.0293833,230,,,0,0,0.501358,1.25528,8840.66,317,0.0358571,573,0
COMMODORE,Northern Victor,3388.08,232,0.0684754,286,,,0,0,-0.489232,0.749423,54,4466.06,540,0.120912,135,Sep-21-2005,346,682.884,522.134,-0.388895,0.797691,7854.14,772,0.0982922,421,682.884
ALASKA ROSE,Unalaska,5376.35,245,0.04557,511,,,0,0,0.122988,1.06368,266,7400.04,432,0.058378,229,,,0,0,0.219341,1.11089,12776.4,677,0.0529884,740,0
SEA WOLF,Unalaska,4588.45,158,0.0344343,465,,,0,0,0.420625,1.21701,307,6757.6,1153,0.170623,191,Oct-9-2005,457,938.206,543.116,-0.872405,0.585906,11346.1,1311,0.115547,656,938.206
CHELSEA K,Westward,14417.2,823,0.0570845,1324,,,0,0,-0.184774,0.899539,501,21692.3,1861,0.0857908,706,Oct-31-2005,0,0,0,-0.0472888,0.973415,36109.5,2684,0.0743294,2030,0
ARCTURUS,Akutan pollock,4146.81,219,0.0528117,370,,,0,0,-0.0705689,0.957492,151,5753.99,1016,0.176573,223,Oct-2-2005,568,1251.96,583.114,-0.930281,0.564812,9900.81,1235,0.124737,593,1251.96
STARFISH,Unisea,4384.03,264,0.0602186,409,,,0,0,-0.268543,0.858107,145,6376.14,161,0.0252504,192,,,0,0,0.541556,1.27387,10760.2,425,0.0394975,601,0
SEADAWN,Unisea,3599.38,198,0.0550095,352,,,0,0,-0.129313,0.931044,154,7506.69,110,0.0146536,311,,,0,0,0.644626,1.31855,11106.1,308,0.0277326,663,0
AMERICAN EAGLE,Northern Victor,2884.8,71,0.0246117,256,,,0,0,0.683162,1.33566,185,4339.33,48,0.0110616,173,,,0,0,0.679563,1.33143,7224.13,119,0.0164726,429,0
STARLITE,Unisea,3103.14,102,0.03287,324,,,0,0,0.462435,1.23632,222,6105.15,76,0.0124485,245,,,0,0,0.666074,1.32716,9208.29,178,0.0193304,569,0
NORDIC FURY,Northern Victor,343.146,5,0.0145711,32,,,0,0,0.951531,1.43859,27,514.663,8,0.0155441,21,,,0,0,0.635964,1.3142,857.81,13,0.0151549,53,0
SOVEREIGNTY,Akutan pollock,6307.17,268,0.0424914,530,,,0,0,0.205274,1.10568,262,8456.95,1483,0.175359,347,Oct-8-2005,753,1006.85,353.737,-0.918471,0.571715,14764.1,1751,0.118598,877,1006.85
DESTINATION,Unalaska,6315.67,309,0.048926,599,,,0,0,0.0332888,1.01596,290,7995.33,1411,0.176478,236,Oct-20-2005,765,977.573,338.064,-0.929356,0.568247,14311,1720,0.120187,835,977.573
ALASKAN COMMAND,Westward,9542.07,698,0.0731497,904,,,0,0,-0.614167,0.690172,206,14690.6,1553,0.105714,509,Nov-1-2005,0,0,0,-0.241069,0.868392,24232.7,2251,0.092891,1413,0
PACIFIC EXPLORER,Akutan pollock,3492.52,72,0.0206155,375,,,0,0,0.789974,1.37641,303,7727.73,102,0.0131992,317,,,0,0,0.658772,1.32287,11220.2,174,0.0155077,692,0
DEFENDER,Unisea,9624.22,423,0.0439516,915,,,0,0,0.166243,1.08475,492,14623.3,270,0.0184637,539,,,0,0,0.607567,1.301,24247.5,693,0.0285803,1454,0
GUN-MAR,Unisea,6210.23,207,0.0333321,584,,,0,0,0.450084,1.23153,377,10366.6,122,0.0117686,438,,,0,0,0.672687,1.33143,16576.8,329,0.019847,1022,0
STORM PETREL,Northern Victor,3511.55,136,0.0387294,354,,,0,0,0.305825,1.15722,218,3126.17,49,0.0156741,111,,,0,0,0.6347,1.3142,6637.72,185,0.027871,465,0
VIKING EXPLORER,Akutan pollock,3474.46,198,0.0569873,326,,,0,0,-0.182176,0.899539,128,6065.28,844,0.139153,229,Sep-30-2005,463,1262.82,721.559,-0.566313,0.712452,9539.74,1042,0.109227,555,1262.82
COLUMBIA,Akutan pollock,4397.38,182,0.0413883,382,,,0,0,0.234757,1.12127,200,8328.57,423,0.050789,295,,,0,0,0.293155,1.15212,12725.9,605,0.0475407,677,0
GLADIATOR,Akutan pollock,5107.43,295,0.057759,515,,,0,0,-0.202802,0.889112,220,1244.56,43,0.0345504,46,,,0,0,0.4511,1.23153,6351.99,338,0.0532117,561,0
BERING ROSE,Unalaska,4900.6,253,0.0516264,498,,,0,0,-0.0388883,0.978729,245,7798.52,1111,0.142463,206,Oct-8-2005,565,1542.19,722.108,-0.598509,0.699004,12699.1,1364,0.107409,704,1542.19
ALDEBARAN,Akutan pollock,3970.4,166,0.0418094,379,,,0,0,0.2235,1.11609,213,4690.17,902,0.192317,179,Oct-3-2005,411,1256.75,808.944,-1.08342,0.517142,8660.56,1068,0.123318,558,1256.75
BRISTOL EXPLORER,Akutan pollock,4987.28,180,0.0360918,497,,,0,0,0.376321,1.19241,317,6841.96,868,0.126864,254,Oct-16-2005,271,321.262,313.618,-0.446789,0.768474,11829.2,1048,0.088594,751,321.262
ARCTIC EXPLORER,Akutan pollock,5285.8,249,0.0471074,494,,,0,0,0.0818962,1.04251,245,8145.52,663,0.0813944,322,Oct-28-2005,0,0,0,-0.00452791,0.994681,13431.3,912,0.067901,816,0
GOLDEN DAWN,Akutan pollock,4929.52,293,0.0594378,443,,,0,0,-0.247673,0.868392,150,8717.21,710,0.0814481,364,Oct-13-2005,7,153.219,5790.63,-0.00504969,0.994681,13646.7,1003,0.0734974,807,153.219
PEGGY JO,Akutan pollock,694.724,46,0.0662134,64,,,0,0,-0.428771,0.77813,18,2113.59,179,0.0846901,63,Oct-27-2005,15,161.453,2847.51,-0.0365827,0.978729,2808.31,225,0.0801193,127,161.453
AMERICAN BEAUTY,Peter Pan,1550.54,90,0.0580442,174,,,0,0,-0.210425,0.883914,84,1832.18,10,0.00545798,77,,,0,0,0.734067,1.35641,3382.72,100,0.029562,251,0
ARGOSY,Unisea,4535.67,241,0.0531344,413,,,0,0,-0.0791947,0.957492,172,6555.4,1418,0.21631,271,Oct-28-2005,886,319.992,95.5468,-1.31679,0.45789,11091.1,1659,0.14958,684,319.992
NORTHWEST EXPLORER,Akutan pollock,4996.77,345,0.0690446,511,,,0,0,-0.504445,0.740034,166,4591.62,1703,0.370893,163,Oct-1-2005,1322,1304.89,261.128,-2.82033,0.336437,9588.39,2048,0.213592,674,1304.89
DOMINATOR,Akutan pollock,5179.73,202,0.0389982,502,,,0,0,0.298639,1.15212,300,8447.57,1012,0.119798,327,Oct-13-2005,296,565.112,505.072,-0.378057,0.80263,13627.3,1214,0.0890859,829,565.112
PERSEVERANCE,Akutan pollock,108.001,0,0,10,,,0,0,1.34099,1.5465,10,0,0,nan,0,,,,,,,108.001,0,0,10,0
NORTHERN PATRIOT,Akutan pollock,6366.9,260,0.0408362,565,,,0,0,0.249512,1.12645,305,10191.7,968,0.0949789,416,Oct-15-2005,194,758.889,1034.87,-0.136657,0.925773,16558.6,1228,0.0741607,981,758.889
ARCTIC WIND,Westward,3579.08,136,0.0379986,342,,,0,0,0.325356,1.16735,206,6420.41,377,0.058719,253,,,0,0,0.216025,1.11089,9999.49,513,0.0513026,595,0
OCEAN LEADER,Peter Pan,915.552,22,0.0240292,108,,,0,0,0.698732,1.33987,86,2217.78,33,0.0148798,92,,,0,0,0.642426,1.31855,3133.33,55,0.0175532,200,0
FIERCE ALLEGIANCE,Unisea,5095.07,289,0.0567215,441,,,0,0,-0.175072,0.904768,152,7802.34,169,0.0216602,331,,,0,0,0.576477,1.28755,12897.4,458,0.035511,772,0
PACIFIC VIKING,Akutan pollock,1794.13,138,0.0769173,146,,,0,0,-0.714867,0.647683,8,4088.05,760,0.185908,151,Oct-3-2005,507,538.347,280.909,-1.02108,0.53534,5882.18,898,0.152664,297,538.347
HALF MOON BAY,Northern Victor,766.852,37,0.0482492,68,,,0,0,0.0513762,1.02659,31,3262.8,117,0.0358588,127,,,0,0,0.438374,1.22187,4029.65,154,0.0382167,195,0
ROYAL AMERICAN,Akutan pollock,2555.06,112,0.0438345,256,,,0,0,0.169373,1.08475,144,6266.42,137,0.0218626,269,,,0,0,0.574508,1.28755,8821.49,249,0.0282265,525,0
LESLIE LEE,Akutan pollock,1200.82,32,0.0266485,108,,,0,0,0.628724,1.30983,76,2076.61,12,0.00577864,89,,,0,0,0.730948,1.35641,3277.43,44,0.0134251,197,0
MARCY J,Akutan pollock,503.586,14,0.0278006,49,,,0,0,0.59793,1.29654,35,625.585,3,0.00479551,25,,,0,0,0.74051,1.36047,1129.17,17,0.0150553,74,0
LISA MELINDA,Akutan pollock,422.146,50,0.118442,37,Feb-12-2005,13,110.533,3748.94,-1.82476,0.378167,0,0,0,nan,0,Jun-12-2005,0,,,,,422.146,50,0.118442,37,110.533
HICKORY WIND,Westward,268.911,84,0.312371,26,Feb-6-2005,0,0,0,-7.00809,0.333333,0,1053.9,81,0.0768572,38,Aug-20-2005,37,167.654,1198.74,0.0396033,1.01596,1322.81,165,0.124734,64,167.654
GOLD RUSH,Northern Victor,532.765,31,0.058187,48,,,0,0,-0.214243,0.883914,17,1546.05,17,0.0109958,66,,,0,0,0.680203,1.33566,2078.81,48,0.0230901,114,0
COLLIER BROTHERS,Northern Victor,210.499,24,0.114015,21,Feb-9-2005,0,0,0,-1.70641,0.391511,0,0,0,nan,0,Jun-12-2005,0,,,,,210.499,24,0.114015,21,0
OCEAN HOPE 3,Westward,1006.63,119,0.118216,77,Feb-16-2005,14,355.126,11184.4,-1.8187,0.379173,0,462.679,15,0.0324199,18,,,0,0,0.471822,1.2411,1469.31,134,0.091199,95,355.126
ELIZABETH F,Peter Pan,865.281,55,0.0635631,89,,,0,0,-0.357936,0.812565,34,855.181,5,0.00584671,36,,,0,0,0.730286,1.35641,1720.46,60,0.0348743,125,0
OCEANIC,Peter Pan,1351.85,63,0.0466029,139,,,0,0,0.0953794,1.04781,76,2135.26,10,0.00468326,92,,,0,0,0.741602,1.36047,3487.11,73,0.0209342,231,0
MAR-GUN,Mothership,272.288,1,0.00367258,30,,,0,0,1.24283,1.52335,29,422.962,0,0,17,,,0,0,0.787154,1.37641,695.25,1,0.00143833,47,0
EXCALIBUR II,Northern Victor,1181.25,76,0.0643387,114,,,0,0,-0.378666,0.80263,38,1284.01,16,0.012461,55,,,0,0,0.665952,1.32716,2465.26,92,0.0373186,169,0
WALTER N,Peter Pan,1363.24,36,0.0264077,140,,,0,0,0.635159,1.3142,104,1927.53,13,0.00674438,82,,,0,0,0.721555,1.35232,3290.77,49,0.0148901,222,0
TRAVELER,Akutan pollock,103.516,5,0.0483016,10,,,0,0,0.049977,1.02127,5,0,0,nan,0,,,,,,,103.516,5,0.0483016,10,0
MISS BERDIE,Northern Victor,200.898,10,0.0497766,17,,,0,0,0.0105529,1.00532,7,0,0,nan,0,,,,,,,200.898,10,0.0497766,17,0
VANGUARD,Unalaska,315.14,8,0.0253855,35,,,0,0,0.66248,1.32716,27,290.97,6,0.0206207,12,,,0,0,0.586587,1.29206,606.11,14,0.0230981,47,0
PACIFIC CHALLENGER,Peter Pan,533.528,13,0.0243661,59,,,0,0,0.689727,1.33566,46,1907.21,1116,0.585149,55,Oct-7-2005,860,1111.8,342.009,-4.90429,0.333333,2440.73,1129,0.462566,114,1111.8
PACIFIC RAM,Akutan pollock,166.092,1,0.00602077,11,,,0,0,1.18006,1.508,10,307.148,0,0,12,,,0,0,0.787154,1.37641,473.24,1,0.00211309,23,0
ALYESKA,Westward,858.067,6,0.00699246,84,,,0,0,1.15409,1.4999,78,0,0,nan,0,,,,,,,858.067,6,0.00699246,84,0
MARK I,Akutan pollock,150.314,3,0.0199582,14,,,0,0,0.807542,1.38419,11,0,0,nan,0,,,,,,,150.314,3,0.0199582,14,0
SUNSET BAY,Northern Victor,379.35,4,0.0105444,38,,,0,0,1.05916,1.47085,34,2125.05,86,0.0404696,61,,,0,0,0.393527,1.20231,2504.4,90,0.0359367,99,0
CAITLIN ANN,Westward,620.419,19,0.0306245,60,,,0,0,0.522453,1.26462,41,4878.77,131,0.026851,207,,,0,0,0.525988,1.26462,5499.19,150,0.0272767,267,0
MAJESTY,Akutan pollock,0,0,nan,0,Jan-22-2005,0,,,,,0,4094.62,95,0.0232012,173,,,0,0,0.561488,1.28301,4094.62,95,0.0232012,173,0
GOLDEN PISCES,Akutan pollock,0,0,nan,0,Jan-22-2005,0,,,,,0,1896.2,28,0.0147663,81,,,0,0,0.643529,1.31855,1896.2,28,0.0147663,81,0
WESTERN DAWN,Unalaska,0,0,nan,0,Jan-22-2005,0,,,,,0,1644.43,52,0.0316218,69,,,0,0,0.479585,1.2411,1644.43,52,0.0316218,69,0
SEEKER,Akutan pollock,0,0,nan,0,Jan-22-2005,0,,,,,0,945.09,113,0.119565,38,Sep-23-2005,53,220.812,1102.19,-0.375797,0.80263,945.09,113,0.119565,38,220.812
